name,reviews
Joseph morris,I called cash net after one day after filing for help from cash net. I have received offers from cash net before yet had not filed because yet while times were hard I wasn't sure that I could pay it back  I spoke with Alexis and she patiently waited for me to provide the desired information for a loan  thank you very much for helping me and my daughter.
Sarah C.,"I had an amazing customer service experience! I spoke with such a nice lady who was eager and happy to help me, I felt like she genuinely cared about answering my questions and I ended the phone call feeling even more confident about using CashnetUSA!!"
Chauncey Turzinski,Just disappointed in myself for applying for loans with 300% interest (only blaming myself)Also the issue where I never received my 25% discount or it was 25$ can't remember it goes all the way back to my first or s cond loanThank you for your timeChauncey Turzinsk
Lynn D.,"CashNet is the #1 lender for short term, emergent loans! Easy online setup and payment system, same day deposits, all online! I was able to pay my loan back fast, where as other lenders are not reliable and offer high interest rates (so you can give them back 9-10 times the original!)"
Misty,This is a good company which puts common sense solutions to any problems which can arise. Thank you for all that the Cashnet team continues to do for the clients.
CHERYL,I’ve always been very happy with cash net USA I’ve never had a problem they’re very kind considerate and I’ve always been there for me when I need them thank you very much for all you do for me Cheryl
Nikita,"It’s a good way to get a loan without perfect credit. You will obviously pay insane fees. What irritated me is when I needed to change my card, I chatted with a rep who told me it was all clear. Then they attempted to debit an old card, which will fail. I contacted chat again, then they told me they can’t accept my bank. I pay on time always. And now I will be late due to no fault of mine. Very inconvenient."
Mark,You guys make everything very painless and easy. The interface is easy to operate the communication with your client base is excellent. Thank you guys for helping me get through a tight crunch
Carl,I’ve been using CashNet for over a year now. Quick and easy to get money when you need it. Sure you pay a little in interest but that’s the price you pay for having bad credit right.
Mrs Nevaquaya,I am recently a widdow and have 3 small children that needed help with income and this was fast and a blessing coming our way...
CONNIE Luons,It's really helped me since I get paid once a month. However didn't really realize the payment on 1500.00 would be 400.00 now I won't do that much .
Glitz Smith,They are there when you need them and will always have your back. Outstanding customer service always there to help. CashNetUSA is my place to go when I’m in of help.
Lelia,"Aaron's polite, professional and proficient customer service skills were a welcomed breath of fresh air!  I had an issue that needed to be taken care of today and it was! I thank you for having him on your team!!!! Kudos Aaron for a job well done!"
JeffS,"If I could write zero stars, I would. You cannot talk to a person by using the phone calling their support number. There are no options to talk with anyone. I didn’t know what the payments would be before I applied and now I can’t afford it. just an awful experience that I don’t need right now."
Debra,DO NOT USE CASHNET USA! BEWARE!!!!Last month I contacted CashNet USA to pay my account in full. The transaction was completed and they drafted the funds from my account. I received an email stating I still owed $700 and they would be drafting from my account on a designated day. How can this be when last month I was told it was paid in full. PLEASE BEWARE!!!  They are not reputable!!!
Antoinette,"I appreciate the assess of line of credit you supply to those that have an account with you, However, I am NOT impressed by the payback amount. Every other week is a horror story of your payments you take out of my check. With other responsibilities I have your payment schedule amount is madness. I hope to never have to need you again"
Veronika Jenrette,"HIGH INTEREST RATEI have been a customer with CasNetUSA for over a year now.  My only concern is the high interest rate they charge (300%) on the balance of my loan!  Is there any way to reconsider lowering the interest? I have been a loyal customer, with an excellent record on paying my dues on time."
Shelton,I was involved in a car accident that put me out of work cash net pushed my payments back long enough for me to get caught up and said call and let us know if the dates are still to soon. Thank you Cash Net USA!
Vickie,My Experience was awesome everyone I spoken with was so nice An patience with me.I Really Do Appreciate That You Have Such A Good Group out of the thee I've talked to so far Hàve Good Customer service Team  .. on 10-12-2022- 10-13-2022
JOHNNIE,I love going thru yall! Everytime I apply yall give me my loan! It's the best interest rate I've seen with loan companies! Yall work with your customers! ❤️
Sallie Butcher,I've been with Cashnet USA for a very long time.  I took care of my obligation and didn't have to use Cashnet USA for quite awhile.  Life happened and Cashnet USA was right there.I'm very satisfied.
Totty B.,"i WOULDNT RECOMMEND A DOG TO COME GET A LOAN FROM THESES PEOPLE, they charge $10 of interest per day ! Which makes sire that you NEVER get the loan paid off !"
