name,reviews
Evangelist AnniePearl Townsend,"Good Morning, My experience was great. But today is the 19th, of October 2022 and My daughter still haven't gotten her referral money 💲💰🤑 yet. They told her she would get it in her email ✉️📨. She very upset. Because they used to give it to you right then. I still need my money that I was promised to get for my referral."
David,"I had to have an emergency surgery for my dog Emmitt. The surgery was just under $3000 dollars. I was $700 dollars short and could not bare to put him down, the surgery was a must for him, he's my best pal. I drove to  Advance America and was given the $700 loan which posted to my checking account instantly. The Vet is paid and Emmitt is at home recovering. Thank you so much for the help! Emmitt says thanks too!"
Nirobi,"I recently went to the homestead location to get a loan and I was looking forward to getting all of my advance loan money back in cash. The cashier told me she didn’t have enough cash, and the cash register, so as she helping me a customer come in, so she asked him how can I help you? Customer paying back my loan he said a certain amount, and that’s the exact amount that she gave me back and that was not the full amount that I came in to get a payday loan."
Lenora,"Every time I have go in to the Laurel, MS office, I receive superb customer service. Just recently I encountered some financial hardship and was treated with excellent service and given the information to contact a representative via telephone call to defer payment. I appreciate Advance America excellent services."
Buck Bazhaw,"My first Re-Contact with Advance America was online. What a sham with poor customer service. Then I received an e-mail offering an installment loan, it made me mad. Then what do you know, Jerry from the Broken Arrow, Oklahoma store called me. He offered a potential solution, so I related my story. Jerry pulled up my data and read about my situation and was able to get me a loan at about 75%  of the original. I am a long-time customer and wanted to go to a competitor but Jerry saved my day and most likely yours."
Jorge Mercado,"Hazel the manager at the store is the sweetest and most professional customer service at this store. She goes beyond to provide excellent customer service, I have known her for over 6 yrs and she never changes always greets you with a smile and treats you like a family member. A big shout out to Hazel!!"
Rosilyn,"I had a extremely pleasant experience with Advance America. I initially called the day before coming in . All of my questions was answered professionally. When I went it , it only took about 15 minutes. The experience was excellent. Extremely professional , every step of the way."
Tamika Herrera,"I am new to Advance America and unfortunately, personal circumstances made me wander in one day. Since that day it has been easy to understand and very fast for online approval. The process is so easy and I get money on my card instantly. It's the best!"
Leona,"My financial situation is at the point of here I need a pay day loan to meet my obligations. Being able to obtain a loan to not be past due is well worth it, especially since can't change date of my bills"
E. Campbell,"Good afternoon, I want to start out by saying that my online experience with the application process was great. The site is very user friendly, and the response was very timely. Overall GREAT EXEPRIENCE. I would also like to say I called your store on Countyline Rd in Ridgeland Ms. and spoke to a member of your staff before submitting the online application , and the customer service was wonderful I only wish I remembered her name. The entire experience was GREAT."
John Plater,"I received great service at the Craig Rd facility today in North Las Vegas, NV. Kimberly and Shirley really made me feel comfortable. Provided clear and concise instructions for the filling out necessary documentation for my loan. The entire process went very smoothly. I would definitely recommend that location to anyone."
Mary,I always have the best experience in the Campbellsville location. Johnnie McGreggor is the best. Always kind courteous and always a smile on her face. I recommend everyone I know to go there because of the excellent service you receive there
Patricia,"Rachel was very courteous and I completed the loan in a very short time. I was, however, sorry to lean that she was here temporarily. There have been many changes recently but I’ve been treated courteously and I appreciate that so much 👍"
Mary K. Rich,"The Advance America employee is always professional and considerate...at least the one I dealt with this last time.  I did complain about one previous encounter.  I will say that I wish you had sufficient cash to provide when pay day advances are processed as this last time, the young lady asked if she could put the money on my debit card as she did not have sufficient cash.  I said yes without knowing that it would not hit my account until 24 hours after the first business day the advance was made.  Advance was made on a Saturday, money not credited to my account Tuesday.  I realize it is my banks issue/policy but it did not seem that I had any option."
Jeremy,"It was the best, and easiest experience ever to receive a payday loan.  I love the upgrade Advance America has made with no papers and practically fully automated process.  My money was in my account before I left the store."
Anthony Biscardi,"As always, even though we went through a very strong hurricane and the office that I usually go to had damage. Going to another office, I was as well as anyone could expect. With out having Advance America there for me every month,  my life would be  very difficult. Thank you."
Jonathan,"Karen was very nice and professional at the same time. My loan was approved fast so I give her an A+ !!!As for the company itself, the people that make the big money thanks to people like me and Karen, they need to pay their employees better and take some lessons on courtesy and pay people like her way better...I will recommend Karen to any of my family and friends...Thank you......."
April,They have great customer service people are really friendly and they work with you when things happen which is nice they are just all around good people and I would recommend them to any of my friends or family.
Kenneth,"Since I've started back using Advance America services,I've received stellar services.Eve the location Manager explained the different loans and gets me In and out in minutes!"
Famouzz Peg 💋,My representative was Just amazing great people skills very warm & welcoming especially when I was in need of the loan & it can be a bit embarrassing but she made the process easy fast very professionally 5 stars definitely would refer you guys :)!!!
Sandra Washington,"Excellent!  Unfortunately, I cannot spell the young lady's name who waited on me. I think it it's Keria (sp).  She went above and beyond the call of duty. She did an  exceptional job!  And Sherri always handles or steps in and assist where needed. These two ladies are hard workers and a professional team."
Gerri Kuykendoll,"Always polite and respectful,  no matter who  you are.  Doesn't treat a person as if they were a number.  They have always treated me with respect and courtesy.   Always enjoy going to their office."
Jerry,"We were facing a hardship and didn't exactly know where to turn to. We saw a Advance America sign and knew right then we were right to check in. Because we've had experience previously with Advance America in the past, we decided to try again. I'm glad we did, Johanna was wonderful in assisting us. She had a great attitude, and explained everything in detail just fine. The whole experience was great, and even the inside office looked good. I know if we ever need additional financial help, we are turning to Advance America for assistance."
Jeannie,I have always had quick service online and instore with Advance America... it is easy to navigate the website and my.loans come quickly to my account.. thank you
Deanna,"They have been a lifesaver for me. They have done everything in their power to make that experience easily and in such a prompt and understanding fashion. No bells or whistles for their efforts. No galas or parades. I can only express my feelings in words. I thank them for their service and for being there for us. Simple words, yes, but they hold alot of kudos and warm fuzzies to go around. Stay safe and well always."
Mari,"I attempted to take the loan on line,but not being very computer literate I ran into a few snags.The final one was my signature.I had no idea how to sign without a pen.So I took my Kindle along with me to the Lincoln Park office and was instructed to click the icon and Pres to there was a facsimile of my signature .The representative had the patience of Job !"
Jeffery,"The representative was courteous and kind. And the service was excellent as always , if I need a loan I will always use these guys. Thank you for everything"
Brenda Stockstill,The people were very friendly and it was the easiest installment loan I've ever gotten but the only thing I did not like is that I have to pay it back in 3 months but it's a great place to go when you really need help thank you for everything
Christy,"Angie was very friendly and helpful.  I have never used Advance America before, and she made the process easy. Angie explained the process and my options clearly. I would do business with them again."
Tisha Charles Ziemer,"The wonderful young lady that served me was so kind and sweet.  When she sound out I was a breast cancer survivor, she gave me a few breast cancer awareness items.  Made me so happy!  She truly made my dad!  With I could remember her name…it was Owensboro Frederica Street office."
Adam,"I was in need of a loan and due to financial issues, do not qualify for a traditional loan and I usually have to resort to title loans. Thankfully I was able to qualify for this new product that AA  provides, but I qualified, and I am glad. The customer service pro at the office where I applied for the loan, was awesome...she was friendly and full of insight. Thank you for working with me and thank you for hiring a great employee in your El Campo office."
Reva,Natalie called me once I was denied online and assured me that I could get help from them if I came to the store in person. She was correct. Thanks Natalie for all of your help.
Gary ,Used the online service. Was approved within seconds & funds deposited within a few minutes. Excellent customer service as always. I'm a repeat customer & always have a positive experience. Thank you!
Misty Ward,These girls are amazing very quick with the process. Gale was so very nice not a rude bone in her body.... Thank you very much... Have a blessed day!!
Mercedes,Always a pleasure coming into the mobile hwy location in Pensacola. They are always so helpful and I never have a bad experience or any issues with getting in and out with what I need.
Rosa,"I love advance america great and quick service when I needed an advance they helped me right away....5 stars plus,,,,thank you for your service....R.Dellapietro"
Margaret,The young lady that waited on me was very nice and very professional. The service that she provided was very quick and I really appreciate the good service.
david,"very easy,they deposit money same day ,in these hard times right now the extra cash helped in a moment of need ,i would recommend this company 100 percent ."
Nowa Brown,Had the most amazing experience the two ladies help me. Kept everything short positive on point about receiving the loan. Definitely would recommend this place to other people's.
Suga Maker,The girls at the office really know what they are doing and how to explain the in's and outs of what you need to do. That way all your questions are answered before you ask them!
Tom Tykodi,I was short covering a few bills and a week away from payday. Found this app and created an account. Process was easy to navigate and money was in my account in just a few hours. Great job Thank you
Florella,I love the people and we go back time and time again and we see smiles on there faces and they greet us with a smile
Diane,Good Morning I came in not knowing what to expect😞 I was greeted with warm ness and I appreciate that 😃 I am very happy with how everything turned out for me 😎Thank you!!!
Gregory  Burall,The staff was very helpful and friendly they treated us like friends. Didn't try to upsell us and a very enjoyable experience I would highly recommend
Donna,Hello iam a returning customer and have been completely satisfied with the courtesy service I am given every time and would recommend Advance America to all my friends
Jimmy,"I love my experiences with advance america , I haven't liked the strict guidelines yall use as far as trying to get an installment loan but .... overall great people"
Christopher,The representatives of your firm did a wonderful job. I was treated with respect and they transparent when it came time to discuss the loan. Thank you for making this experience painless.
Haroldine Bethel,The person I worked with in your store was agreat help very efficient and got the business donein no time.  Thanks Okeechobee
Megan,Chelsea was amazing and very understanding espically with my. I’m having cancer and working well to help me
Cheryl,I have been using Advance America for a few years as needed and they have always been very polite to me. I would highly recommend this company if you're in need of money fast.
Sharon Jean Gibson,They are very very friendly  and listen to my story's while they help me  very kind and willing to help very pleased thank you for your help have a great day  CHICO CALIFORNIA
Jojo palacios,Ms Mary is awesome! I came in as a new customer and she was so friendly and chill! Definitely glad I came in! Thank you!
Phoebe,Advance America is the best fast and easy good customer service. Keep it up I will always recommend it to anyone in need of money. Lake park in Florida
Helia Zaragoza,"To one and all I highly recommend Advance American for your emergency, one time loan they are so understanding, so easy to apply on line or in-person very helpful."
Kimberley,The clerk was very knowledgeable and explained everything in detail couldn't have asked for a better experience
