name,reviews
WILL,MoneyLion Was Believed To Be Yet Another Denied Response For A Reply To My Application. Low And Behold I Was In Astonishment To The Acceptance Of My Thought To Be Declined Application. I Had To Proofread It Three Times Before I Could Comprehend It Was A Go!! MoneyLion Made Me Elated.
Troy Miller,"Remember the OLD saying that The Customer is Always Right. Well, you can throw that $h!t out the window with this BUNCH! Typed a significant date but the horrible mistake lasted 5 months. Which will be corrected."
Elise Bloss,"MoneyLion has provided me with excellent service all around. Starting with my first direct deposit which amazingly started the same week I signed up for it. My investing account just keeps getting bigger on pretty much every purchase and the app layout is easy to use. You can check your balance, track investing, make changes and even transfer funds all within the app.Their customer service team works quick at getting issues resolved with a positive friendly attitude. I will recommend MoneyLion to all my friends and family for all their banking and investing needs."
Megan Kaii,"I turned to money lion for a quick hand with cash, ultimately I've benefited in  few ways from my relationship with them! Super fast & easy & best of all, transparency with everything has been totally respected."
Dani Kay,I am thankful to this website for all of the many features many of which are helping me repair my credit. My favorite feature is the Instacash option which started off with a very small amount and increased each time I paid back on time.
Joann Newsom,I absolutely love everything about Money Lion no late fees overdraft fees spot you money and shake and bake has saved me several times. Customer service always great 😊
Mocha Jones,"I have been trying to delete this account since July and have been unable to. They offered me a $50 advance and every time I tried to use it, it never works. Waste of time and bad service."
amy singleterry,Love MoneyLion! Easy to keep track of what I spend and I can also borrow money from instacash when I need it. It’s easy!
Victor,So I have been using money lion for quite some time. I saw the credit builder on there and decided to give it a shot. My credit score jump up about 47 points in the year I was using it. Worked great super happy.
Gabriela Villalovos Torres,This helps in so many ways. Just with loans and also getting you on the right track. No bank. This is it for you.
Brad Holmquist,"I called to see if my card was still good.i have not used it in awhile. Ure representative canceled my card.I never told her to canceled my card.she couldn't reverse the process .she said she would expedite my card. I'm on disability. I still don't have a card. All my money had been transferred into my money lion account. I still have not received my card. I'm broke, hungry,out of gas,."
Sherry McDonald,This place is still holding my money. I have sent ever document they have asked for and they’re still holding my money. I have stayed on the phone today for two hours and still NOTHING. My rent was returned for NSF because they are holding my money. My apartment complex has given me until tomorrow 10/13/22 @10:00AM to have my rent plus they added 130.00 late fee. I don’t know what to do next they keep telling me to wait 24 hrs. This has been going on since Thursday 10/05/22. PLEASE HELP 😢😢 THIS PLACE IS HORRIBLE 😢😢 YEP AND THAT IS WHAT I HAVE BEEN TOLD FOR ONE WEEK NOW. I AM CALLING THE ATTORNEY GENERAL IN MY AREA IF THIS ACCOUNT IS NOT OPENED BY 1:00 PM TODAY ENOUGH IS ENOUGH.
Martin Cherry,This is the easiest way to get the money you need in an emergency. It also builds up your amount of available money with on time payments. It also has available means to help make you extra money.
Belinda Jones,Money lion is a great establishment to do your banking and build your credit I recommend this bank to all my family and friends
Colette Colone,I love banking and investing with Money Lion. I have been with them for years now and look forward to there new products especially for new small business owners like myself
Karen Dupont,"I have had an account with MoneyLion  almost a year,it has been a great experience and also a learning experience with all the information on my account side. I just paid off my Credit Builder Plus loan for 1000.00 ,at time of loan I receive 600.00 with 400.00 reserve. I get my reserved amount and the approved me for another loan with no reserve! Money Lion is a great way to build credit and good spending habit. I also get my paycheck one day early!"
Ode,Money lion is a good resource when money is needed and help boost credit score
Alexandria,Money Lion is great!!! They are so considerate and are always willing to help. Paychecks on time and I never have overdrafts thanks to their Instacash option. Thank you so much!
Josh Figone,"Excellent money app! This app offers a lot of services. Including small dollar payday loans and prepaid debit cards. They also offer personal financial education, for a small fee $10 - $20 you'll get to talk to one of their financial advisors that they call ""Genius's."" You'll receive a 1on1 consultation, where you can ask them any question on a variety of topics pertaining to money/money management. I have yet to try it out myself so that's just what I've read about their ""Genius"" service but I will soon try it out."
Jillynda,"This bank gets me!! And is reteaching me finances 101 along the way!  My credit score has went up 40+ Points!! In a couple months I will have a savings, invested in stocks and better credit.  MoneyLion does things other banks do and more for free! #ROAR  $itsmejilly"
VJ,"If you need money in a hurry this is a easy, quick alternative than having to pay bounce check fees, but keep in mind if you get paid weekly it will be taken out your very next check and sometimes it could be the same week you borrow! So pay attention to the pay back date before you borrow."
S Hunter,"Not happy with the dispute process.  There was an unauthorized charge of $300 on my account.  The dispute process is they email you a form to fill out that can take up to 90 days to resolve.   I filled it out, emailed it back.  I didn't get a confirmation it was received so 2 weeks later I called to make sure jt was received.  I was told they have no way to confirm if it was or was not received and I would have to wait 90 days to know. WHAT!  I repaid on $300 I NEVER RECEIVED."
Zack,"So far, it has been a wonderful experience. I get alerts, paid early, and it feels fresh compared to my old bank. 5 out of 5 any day. Oh.. did I mention the investments (easy to use) and cash advances in a pinch."
Denise Holley,This loan company is fantastic I will always stay with this company. Get a loan pay back on time your good to go.never never never will I leave these guys.    You have been very helpful in every way.   Thank you for being there for me THANK YOU THANK YOU THANK YOU
Bunmi Ajakaye,"Straight to the point ,they have help me with my credit , from the 450’s to the 600. Especially that 500 loan credit builder will help anyone that need it .money lion .let’s gooooo"
Slim Icard,Helps in a jam think they should raise it to fifty bucks after a couple successful payments without having to do direct deposit tho. Would of gave five if the amount without direct deposit was a little better. Still very convenient so Thanks MoneyLion
